subset,n,fire_to_muzzle_s_median,fire_to_muzzle_s_p90,fire_to_impact_s_median,fire_to_impact_s_p90,pitch_peak_abs_deg_median,pitch_peak_abs_deg_p90,pitch_peak_time_s_median,pitch_peak_time_s_p90,pitch_recovery_s_median,pitch_recovery_s_p90,yaw_peak_abs_deg_median,yaw_peak_abs_deg_p90,yaw_peak_time_s_median,yaw_peak_time_s_p90,yaw_recovery_s_median,yaw_recovery_s_p90,disturbance_vector_abs_deg_median,disturbance_vector_abs_deg_p90
all fire events,375,0.04050892800000838,0.04579566079983124,0.1565862399999105,0.19371668480034712,1.9478039201156818,2.9135452615098703,0.1894215680003981,0.4857634304000385,0.30021990399995957,0.42010680319986027,1.7333999999999996,3.1134734906648625,0.17418111999995745,0.47239485439999956,0.2079198720000477,0.44300543999984254,2.7227421208686238,4.0823815574314715
stable target shots,11,nan,nan,nan,nan,1.8072,2.0106,0.13857715199992526,0.14191743999981554,0.2623541760003718,0.2722050559996205,1.693800000000003,1.8395999999999972,0.07113676800008761,0.08011955199981458,0.17261900799985597,0.21032627200020215,2.477975084620505,2.6162546435696963
"stable target shots, non-trivial disturbance",10,nan,nan,nan,nan,1.8162000000000003,2.02068,0.1390273279998837,0.14206279679983708,0.26295987200023774,0.2728363775996968,1.7109000000000023,1.8458999999999974,0.07174617599980593,0.08048849919987333,0.17455193599994345,0.21057484800021484,2.497561199272768,2.625312913485771
