event_idx,fire_time_s,fire_to_muzzle_s,fire_to_impact_s,pitch_peak_signed_deg,pitch_peak_abs_deg,pitch_peak_time_s,pitch_recovery_s,pitch_target_range_deg,pitch_target_stable,yaw_peak_signed_deg,yaw_peak_abs_deg,yaw_peak_time_s,yaw_recovery_s,yaw_target_range_deg,yaw_target_stable,disturbance_vector_abs_deg,stable_target,valid_disturbance_shot
0,446.81753728,0.04041036800003894,0.11876377600003707,3.8583243419940665,3.8583243419940665,0.47300684800001136,nan,4.187589482966398,0,6.475812092517886,6.475812092517886,0.49311641600002076,nan,8.05417528748512,0,7.538090539760373,0,0
1,456.734144,0.039897088000032,0.12806656000003613,3.379753174428087,3.379753174428087,0.4031892479999897,nan,4.298702037775879,0,-2.476629465620455,2.476629465620455,0.39337267199999815,nan,7.41591124665505,0,4.190038786220981,0,0
2,476.291719424,0.04040806400001884,0.12808704000002535,4.614975240390812,4.614975240390812,0.4847134720000099,nan,6.3475190131830495,0,-1.8873659626099695,1.8873659626099695,0.09430425600004355,nan,2.0106200759726924,0,4.985995060791667,0,0
3,494.11218380800005,0.03988223999999718,0.12462284800000134,-1.898401075901262,1.898401075901262,0.17145190399998,0.4007178239999689,3.252219023742782,0,-1.650018857182527,1.650018857182527,0.08159027199997126,0.38213273599996,5.629727487601571,0,2.5152512546544927,0,0
4,502.132067328,0.040745984000011504,0.13916595200004167,2.043042269535757,2.043042269535757,0.3924413440000194,nan,3.0249454599590777,0,2.0833119545121797,2.0833119545121797,0.3931095040000514,nan,5.941881133597356,0,2.9179119957468176,0,0
5,511.471126528,0.04045542400001523,0.1384355840000353,-1.4451100988862322,1.4451100988862322,0.1481510400000161,0.28215040000003455,5.70108039277908,0,2.442998971446638,2.442998971446638,0.42056192000001147,nan,3.3459512706531918,0,2.838412791049305,0,0
6,524.392322304,0.04021939200003999,0.13921203200004584,3.371632255854367,3.371632255854367,0.42695014399998854,nan,4.941380717325778,0,4.275368582436146,4.275368582436146,0.41953843200008123,nan,8.333584902332607,0,5.44487654445899,0,0
7,532.525433344,0.039816448000010496,0.14034969600004388,-1.918092517804352,1.918092517804352,0.193318655999974,nan,6.134351753256972,0,4.5980349277645285,4.5980349277645285,0.4350658560000511,nan,11.488760855206642,0,4.98206825563436,0,0
8,555.232485888,0.04050815999994484,0.13515545600000678,-1.2259648203311286,1.2259648203311286,0.20626227200000358,nan,3.9337355444883215,0,3.255518372439285,3.255518372439285,0.4678077439999697,nan,9.480026410328609,0,3.478705163416306,0,0
9,564.672171264,0.03944832000001952,0.12388966400010304,-1.4868662195643232,1.4868662195643232,0.1519080960000565,nan,4.539134633226016,0,-1.9685594238978048,1.9685594238978048,0.2201323520000642,0.47077094400003716,9.694568640892971,0,2.4669814268247663,0,0
